Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,M_Penalty
10261252,211207756,12-2-2018,12-17-2018,2,345469,20,0,1
10261253,211200060,12-2-2018,12-17-2018,2,345017,30.7,0,1
10261254,211207918,12-2-2018,12-17-2018,2,345604,40,0,1
10261255,211200100,12-2-2018,12-17-2018,2,345018,33.4,0,1
10261256,211200110,12-2-2018,12-17-2018,2,345019,20,0,1
10261257,211200130,12-2-2018,12-17-2018,2,345020,20,1,1
10261258,211207720,12-2-2018,12-17-2018,2,345443,53.5,0,1
10261259,211207788,12-2-2018,12-17-2018,2,345494,33.4,0,1
10261260,211200150,12-2-2018,12-17-2018,2,345021,33.4,0,1
10261261,211200170,12-2-2018,12-17-2018,2,345022,22.7,0,1
10261262,211200180,12-2-2018,12-17-2018,2,345023,67,0,1
10261263,214200214,12-2-2018,12-17-2018,2,345611,300.55,0,1
10261264,211200190,12-2-2018,12-17-2018,2,345024,38.75,0,1
10261265,211200200,12-2-2018,12-17-2018,2,345026,28.05,1,1
10261266,211200230,12-2-2018,12-17-2018,2,345027,50.15,0,1
10261267,211200240,12-2-2018,12-17-2018,2,345028,20,1,1
10261268,211200250,12-2-2018,12-17-2018,2,345029,20,1,1
10261269,211200260,12-2-2018,12-17-2018,2,345030,20,0,1
10261270,211200420,12-2-2018,12-17-2018,2,345040,20,0,1
10261271,211200381,12-2-2018,12-17-2018,2,345038,20,1,1
10261272,211200380,12-2-2018,12-17-2018,2,345037,20,0,1
10261273,211200280,12-2-2018,12-17-2018,2,345031,20,1,1
10261274,211200300,12-2-2018,12-17-2018,2,345032,3.85,1,1
10261275,211200310,12-2-2018,12-17-2018,2,345033,30.7,1,1
10261276,214200330,12-2-2018,12-17-2018,2,345612,772,0,1
10261277,211200340,12-2-2018,12-17-2018,2,345034,50.15,1,1
10261278,211200360,12-2-2018,12-17-2018,2,345036,30.7,0,1
10261279,211203709,12-2-2018,12-17-2018,2,345195,20,0,1
10261280,211207716,12-2-2018,12-17-2018,2,345439,20,0,1
10261281,211200390,12-2-2018,12-17-2018,2,345039,41.4,0,1
10261282,311200270,12-2-2018,12-17-2018,2,345618,20,0,1
10261283,211207753,12-2-2018,12-17-2018,2,345466,67,0,1
10261284,211200450,12-2-2018,12-17-2018,2,345041,33.4,1,1
10261285,211200460,12-2-2018,12-17-2018,2,345043,46.75,1,1
10261286,211200480,12-2-2018,12-17-2018,2,345044,121.5,0,1
10261287,211200490,12-2-2018,12-17-2018,2,345045,44.1,1,1
10261288,211200500,12-2-2018,12-17-2018,2,345046,20,0,1
10261289,211200520,12-2-2018,12-17-2018,2,345047,50.15,0,1
10261290,211200540,12-2-2018,12-17-2018,2,345048,22.7,0,1
10261291,211200600,12-2-2018,12-17-2018,2,345051,30,0,1
10261292,211207894,12-2-2018,12-17-2018,2,345582,191.1,1,1
10261293,213200630,12-2-2018,12-17-2018,2,345610,155.2,0,1
10261294,215200640,12-2-2018,12-17-2018,2,345616,419.35,1,1
10261295,212200650,12-2-2018,12-17-2018,2,345609,562.3,0,1
10261296,211207891,12-2-2018,12-17-2018,2,345579,20,1,1
10261297,211200660,12-2-2018,12-17-2018,2,345052,30.7,0,1
10261298,211200680,12-2-2018,12-17-2018,2,345054,28.05,0,1
10261299,211200800,12-2-2018,12-17-2018,2,345055,22.7,1,1
10261300,211200830,12-2-2018,12-17-2018,2,345056,35,0,1
10261301,211200840,12-2-2018,12-17-2018,2,345057,80.25,0,1
10261302,211200850,12-2-2018,12-17-2018,2,345058,30.7,0,1
10261303,211200920,12-2-2018,12-17-2018,2,345059,20,0,1
10261304,211200970,12-2-2018,12-17-2018,2,345060,20,1,1
10261305,211201010,12-2-2018,12-17-2018,2,345062,41.4,0,1
10261306,211201021,12-2-2018,12-17-2018,2,345063,53.5,0,1
10261307,211207712,12-2-2018,12-17-2018,2,345435,33.4,1,1
